,INSTNM,LOCALE,LATITUDE,LONGITUDE,ADM_RATE,UGDS,ENDOWEND
836,The College of Idaho,22.0,43.652284,-116.677992,0.4835,1100.0,100736276.0
837,Lewis-Clark State College,13.0,46.412199,-117.024875,0.9975,2613.0,8786878.0
841,Northwest Nazarene University,22.0,43.562411,-116.565783,0.7683,1220.0,47852563.0
843,Brigham Young University-Idaho,32.0,43.818408,-111.782431,0.9701,43660.0,128588000.0
848,School of the Art Institute of Chicago,11.0,41.88105,-87.625758,0.7778,2487.0,252178000.0
849,Augustana College,13.0,41.502365,-90.55057,0.5735,2374.0,166094094.0
850,Aurora University,21.0,41.753631,-88.349023,0.8395,4123.0,41052296.0
854,Blackburn College,32.0,39.287896,-89.870241,0.5518,484.0,26320519.0
857,Bradley University,12.0,40.696896,-89.616786,0.7328,4570.0,301929516.0
868,Chicago State University,11.0,41.718446,-87.609384,0.4642,1683.0,7525689.0
870,University of Chicago,11.0,41.787994,-87.599539,0.0731,7010.0,7199520706.0
878,Columbia College Chicago,11.0,41.874261,-87.624667,0.8953,6524.0,201677414.0
879,Concordia University-Chicago,21.0,41.898696,-87.809482,0.7854,1452.0,23228631.0
883,DePaul University,11.0,41.877618,-87.62724,0.7024,14009.0,751412000.0
887,Eastern Illinois University,32.0,39.479843,-88.175658,0.5554,4698.0,60043021.0
889,Elmhurst University,21.0,41.897164,-87.945369,0.6553,2744.0,108660467.0
890,Eureka College,31.0,40.71482,-89.269624,0.6136,505.0,31171236.0
895,Governors State University,41.0,41.449103,-87.716441,0.4784,3000.0,2395756.0
897,Greenville University,32.0,38.894162,-89.40824,0.5921,793.0,23647559.0
901,Hebrew Theological College,13.0,42.010103,-87.760874,0.8333,103.0,1078617.0
904,University of Illinois Chicago,11.0,41.871837,-87.650503,0.7263,21702.0,380290620.0
905,Benedictine University,21.0,41.777569,-88.097307,0.6099,2285.0,36902470.0
907,University of Illinois Urbana-Champaign,13.0,40.104718,-88.229114,0.633,33001.0,1821951797.0
908,Illinois Wesleyan University,13.0,40.489901,-88.992014,0.5693,1628.0,213223331.0
910,Illinois College,32.0,39.7313,-90.246171,0.7524,1150.0,126104821.0
912,Illinois Institute of Technology,11.0,41.8313,-87.627321,0.6066,2974.0,254043000.0
913,Illinois State University,22.0,40.509403,-88.990058,0.8131,17955.0,151372576.0
919,Judson University,12.0,42.061754,-88.291336,0.5701,930.0,5740962.0
923,Knox College,32.0,40.943064,-90.373165,0.7084,1130.0,171631200.0
926,Lake Forest College,21.0,42.249574,-87.827454,0.5761,1552.0,84192908.0
931,Lewis University,21.0,41.605432,-88.079032,0.6606,4099.0,84155381.0
933,Lincoln College,32.0,40.155442,-89.36153,0.6985,899.0,21053451.0
936,Loyola University Chicago,11.0,42.000765,-87.656872,0.7054,11531.0,701356311.0
943,McKendree University,21.0,38.608154,-89.816822,0.7008,1690.0,30276365.0
945,Methodist College,12.0,40.7804,-89.682864,0.875,557.0,2314851.0
946,Millikin University,13.0,39.842612,-88.976298,0.7115,1849.0,94270603.0
947,Monmouth College,32.0,40.914824,-90.63731,0.6943,847.0,114661256.0
948,Moody Bible Institute,11.0,41.897822,-87.633459,0.9751,2134.0,42200301.0
952,National Louis University,11.0,41.880093,-87.624699,0.9746,3513.0,34585380.0
955,North Central College,12.0,41.77576,-88.14279,0.5329,2453.0,112843418.0
956,North Park University,11.0,41.975268,-87.709948,0.4396,1840.0,76326518.0
958,Northern Illinois University,23.0,41.933869,-88.766428,0.5925,12247.0,75990238.0
959,Northwestern University,13.0,42.050356,-87.679858,0.0931,8401.0,8484706000.0
960,Northeastern Illinois University,11.0,41.980399,-87.718983,0.607,5170.0,12236422.0
963,Olivet Nazarene University,23.0,41.155237,-87.875165,0.6657,2757.0,45060582.0
966,Principia College,41.0,38.948835,-90.350285,0.9324,334.0,373804012.0
968,Quincy University,33.0,39.938898,-91.385975,0.6713,954.0,16852525.0
972,Rockford University,12.0,42.270639,-89.019536,0.5082,1000.0,24830992.0
973,Roosevelt University,11.0,41.876055,-87.624952,0.7652,2978.0,133050314.0
974,Dominican University,21.0,41.902678,-87.823003,0.7646,2155.0,39105049.0
977,University of St Francis,21.0,41.532225,-88.096057,0.6009,1581.0,22607586.0
979,Saint Xavier University,11.0,41.707199,-87.714749,0.79,3066.0,22786022.0
980,University of Illinois Springfield,12.0,39.729524,-89.616796,0.7733,2580.0,17958234.0
989,Saint Anthony College of Nursing,12.0,42.310147,-88.991968,1.0,210.0,6317948.0
991,Southern Illinois University-Carbondale,13.0,37.714193,-89.217273,0.9178,8115.0,150174329.0
992,Southern Illinois University-Edwardsville,21.0,38.793949,-89.997779,0.8505,9892.0,27381215.0
997,Trinity Christian College,21.0,41.667687,-87.783973,0.6366,933.0,13010763.0
998,Trinity International University-Illinois,21.0,42.197945,-87.880851,0.8592,522.0,40172540.0
1001,VanderCook College of Music,11.0,41.836833,-87.629138,1.0,66.0,410792.0
1004,Western Illinois University,33.0,40.468086,-90.686899,0.6696,5854.0,63570086.0
1005,Wheaton College,21.0,41.870176,-88.099643,0.8695,2228.0,502044363.0
1008,Anderson University,13.0,40.112768,-85.664315,0.665,1198.0,35109000.0
